OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610321;1961;3;21;3355000;6705000;-5.8;-1.1;-12.9;0.0;11686;2.54;0.30;81.0
Vihti;355641;6700134;Vihti;226;19610322;1961;3;22;3355000;6705000;-5.5;1.3;-15.0;2.0;12399;2.56;0.30;83.0
Vihti;355641;6700134;Vihti;226;19610323;1961;3;23;3355000;6705000;2.2;7.0;-4.7;0.0;6675;5.63;0.30;83.0
Vihti;355641;6700134;Vihti;226;19610324;1961;3;24;3355000;6705000;1.7;4.2;0.3;0.0;10061;4.51;0.30;83.0
Vihti;355641;6700134;Vihti;226;19610325;1961;3;25;3355000;6705000;0.1;2.7;-2.0;0.0;9781;3.88;0.30;83.0
Vihti;355641;6700134;Vihti;226;19610326;1961;3;26;3355000;6705000;2.5;4.7;-1.6;3.0;4122;6.64;0.30;86.0
Vihti;355641;6700134;Vihti;226;19610327;1961;3;27;3355000;6705000;1.8;4.2;0.2;0.0;6346;4.83;0.30;86.0
Vihti;355641;6700134;Vihti;226;19610328;1961;3;28;3355000;6705000;-1.4;1.0;-2.7;0.0;6918;4.48;0.30;86.0
Vihti;355641;6700134;Vihti;226;19610329;1961;3;29;3355000;6705000;-2.2;3.2;-9.2;2.0;10162;3.89;0.30;88.0
Vihti;355641;6700134;Vihti;226;19610330;1961;3;30;3355000;6705000;-2.0;-1.0;-4.9;9.0;2029;4.82;0.30;97.0
Vihti;355641;6700134;Vihti;226;19610331;1961;3;31;3355000;6705000;-2.7;1.6;-4.5;0.0;10130;3.51;0.30;97.0
Vihti;355641;6700134;Vihti;226;19610401;1961;4;1;3355000;6705000;-9.3;2.3;-19.9;0.0;8951;3.51;0.30;97.0
Vihti;355641;6700134;Vihti;226;19610402;1961;4;2;3355000;6705000;-6.5;3.8;-17.7;0.0;13947;3.30;0.30;97.0
Vihti;355641;6700134;Vihti;226;19610403;1961;4;3;3355000;6705000;-5.3;4.7;-14.0;1.0;12225;4.23;0.30;98.0
